47,94255386
84,14709848
99,74949866
90,92974268
59,84721441
14,11200081
-35,07832277
-75,68024953
-97,75301177
-95,89242747
-70,55403256
-27,94154982
21,51199881
677,69865987
93,79999768
98,93582466
79,84871126
41,21184852
-7,515112046
-54,40211109
-87,969576
-99,99902066
-87,54521747
-53,6572918
-6,632189735
42,01670368
80,37844266
99,06073557
93,48950555
65,02878402
20,64674819
-28,79033167
-71,17853424
-96,13974919
-97,56260055
-75,09872468
-34,24806185
14,98772097
60,55398697
91,29452507
99,68297943
83,66556385
47,16390031
-0,885130929
-48,71745125
-84,62204042
-99,8082028
-90,5578362
-59,13575299
-13,23517501
35,9058354
76,25584505
97,93576431
95,63759284
69,92400317
27,09057883
-22,37556402
-66,36338842
-94,10314083
-98,80316241
-79,31272395
-40,40376453
8,397445569
55,14266812
88,38704235
99,99118601
87,11400002
52,90826861
5,74874781
-42,81826695
-80,90187662
-99,17788534
-93,17168879
-64,35381334
-19,77987996
29,63685787
71,79745928
96,37953863
97,36454557
74,51131605
33,41511768
-15,86226688
-61,2560153
-91,65215479
-99,60865031
-83,17747426
-46,3815516
1,770192511
49,48853176
85,09035245
99,85908724
90,17883476
58,41965844
12,35731227
-36,73053491
-76,82546613
-98,11084386
-95,37526528
-69,28849542
-26,23748537
